document_id,file_path,risk_score,dei_keywords,proxy_keywords,binding_keywords,applicability_tags,text_length
74c6bb8d3aa480a95207e0085fc1c4c0,research_results/documents/parsed/74c6bb8d3aa480a95207e0085fc1c4c0.txt,3,inclusion; underserved; dei; underrepresented; equity; diversity,bipoc,contract; standard; required; must; mandatory; shall; statewide; policy; agreement,hiring; procurement; training; housing,59426
e074d302eac8c1251ce84c7611f87a01,research_results/documents/parsed/e074d302eac8c1251ce84c7611f87a01.txt,3,inclusion; underserved; dei; underrepresented; equity; diversity,safe space; bipoc,contract; standard; applicability; required; must; statewide; policy; agreement,hiring; procurement; training; housing,108807
2cb743c45485324adc632bb0642bc614,research_results/documents/parsed/2cb743c45485324adc632bb0642bc614.txt,3,inclusion; underserved; dei; underrepresented; equity; diversity,equity plan; lived experience,contract; standard; required; must; mandatory; shall; statewide; policy; agreement,hiring; procurement; training; housing,141010
0907648c5876f269eb95f4122bbe6150,research_results/documents/parsed/0907648c5876f269eb95f4122bbe6150.txt,3,inclusion; equity,lived experience,policy; contract; statewide; must,procurement; housing,12324
07a1076fa131f26b2cdcc68681afddbb,research_results/documents/parsed/07a1076fa131f26b2cdcc68681afddbb.txt,3,inclusion; underserved; dei; underrepresented; equity; diversity,safe space; equity plan,contract; must; mandatory; shall; statewide; policy,hiring; procurement; training; housing,49914
544d76b9a259616a1c691b4f98098735,research_results/documents/parsed/544d76b9a259616a1c691b4f98098735.txt,3,inclusion; underserved; dei; underrepresented; equity; diversity,safe space; equity plan,contract; must; mandatory; shall; statewide; policy,hiring; procurement; training; housing,49914
6431de02c3af80fab467e7aebdc1d17c,research_results/documents/parsed/6431de02c3af80fab467e7aebdc1d17c.txt,3,inclusion; underserved; dei; equity; diversity,bipoc,contract; standard; required; must; shall; statewide; policy; agreement,hiring; procurement; training; housing,76622
dc398148018f34aaa217529c5dbcce3b,research_results/documents/parsed/dc398148018f34aaa217529c5dbcce3b.txt,3,diversity; inclusion; equity,equity plan; lived experience,contract; shall; statewide; policy; agreement,hiring; procurement; training; housing,32626
65855a9e72d39c381c793fccf7e2afd0,research_results/documents/parsed/65855a9e72d39c381c793fccf7e2afd0.txt,3,diversity; inclusion; equity,equity plan; lived experience,contract; shall; statewide; policy; agreement,hiring; procurement; training; housing,32684
a2f08c4c1146471bbf56e2808875d0b6,research_results/documents/parsed/a2f08c4c1146471bbf56e2808875d0b6.txt,3,inclusion; underserved; dei; underrepresented; equity; diversity,bipoc; lived experience,contract; standard; required; must; shall; statewide; policy; agreement,hiring; procurement; training; housing,147683
