candidate_type,candidate,domain,score,mentions,source_count,sample_sources
domain,www.tiktok.com,www.tiktok.com,113,50,34,research_results/third_party_downloads/api.w.org/developer.wordpress.org_rest-api.html | research_results/third_party_downloads/api.w.org/developer.wordpress.org_rest-api_55e12db766.html | research_results/third_party_downloads/github.com/github.com.html | research_results/third_party_downloads/github.com/github.com_about.html | research_results/third_party_downloads/github.com/github.com_d7b3438d97.html
domain,www.raceforward.org,www.raceforward.org,102,84,37,research_results/documents/parsed/17d6cf0baacf85a5dc3bdc2d4e886207.txt | research_results/documents/parsed/2cb743c45485324adc632bb0642bc614.txt | research_results/documents/parsed/c441d095b5efadcac83eadd5ad604240.txt | research_results/documents/parsed/ffb8613e7bb63a09a1349a4f4cd7e90b.txt | research_results/third_party_downloads/colorlines.com/colorlines.com.html
domain,www.charitynavigator.org,www.charitynavigator.org,101,126,22,research_results/third_party_downloads/opportunityagenda.org/opportunityagenda.org.html | research_results/third_party_downloads/opportunityagenda.org/opportunityagenda.org_5f484e276c.html | research_results/third_party_downloads/opportunityagenda.org/opportunityagenda.org_db352f424d.html | research_results/third_party_downloads/raceforward.org/www.raceforward.org.html | research_results/third_party_downloads/raceforward.org/www.raceforward.org_641110ad5f.html
domain,obiu.org,obiu.org,98,26,11,research_results/third_party_downloads/belonging.berkeley.edu/belonging.berkeley.edu.html | research_results/third_party_downloads/belonging.berkeley.edu/belonging.berkeley.edu_de32e3d51e.html | research_results/third_party_downloads/belonging.berkeley.edu/belonging.berkeley.edu_targeted-universalism.html | research_results/third_party_downloads/obiu.org/obiu.org.html | research_results/third_party_downloads/obiu.org/obiu.org_4ba94aeb9f.html
domain,www.racialequityalliance.org,www.racialequityalliance.org,97,110,33,research_results/documents/parsed/0907648c5876f269eb95f4122bbe6150.txt | research_results/documents/parsed/1bb15fecc239f35d9ee2fc03e86de86b.txt | research_results/documents/parsed/2cb743c45485324adc632bb0642bc614.txt | research_results/documents/parsed/301c581abbfcce15c8336a36b2946da3.txt | research_results/documents/parsed/9992a1019c1a850d63d4e6c5f0ef450b.txt
domain,lwfiles.mycourse.app,lwfiles.mycourse.app,96,152,8,research_results/third_party_downloads/obiu.org/obiu.org.html | research_results/third_party_downloads/obiu.org/obiu.org_4ba94aeb9f.html | research_results/third_party_downloads/obiu.org/obiu.org_9fdd6f809a.html | research_results/third_party_downloads/obiu.org/obiu.org_about.html | research_results/third_party_downloads/obiu.org/obiu.org_course_stages-of-targeted-univeralism-part2.html
domain,metrics.raceforward.org,metrics.raceforward.org,96,54,28,research_results/third_party_downloads/colorlines.com/colorlines.com.html | research_results/third_party_downloads/colorlines.com/colorlines.com_about-us.html | research_results/third_party_downloads/colorlines.com/colorlines.com_articles_supreme-court-case-affirmative-action-explained.html | research_results/third_party_downloads/colorlines.com/colorlines.com_bd1555a1fc.html | research_results/third_party_downloads/colorlines.com/colorlines.com_categories_media.html
domain,xmlns.com,xmlns.com,95,26,17,research_results/documents/parsed/52cd97168f3abd20d0c66d36582aacf7.txt | research_results/documents/parsed/70cd1c5a92bcf53af2ccfbe1bb03108d.txt | research_results/documents/parsed/d7e37c7dce04e9bfe1616df0c27a058a.txt | research_results/third_party_downloads/belonging.berkeley.edu/belonging.berkeley.edu.html | research_results/third_party_downloads/belonging.berkeley.edu/belonging.berkeley.edu_de32e3d51e.html
domain,colorlines.com,colorlines.com,94,144,27,research_results/documents/parsed/c441d095b5efadcac83eadd5ad604240.txt | research_results/third_party_downloads/colorlines.com/colorlines.com.html | research_results/third_party_downloads/colorlines.com/colorlines.com_about-us.html | research_results/third_party_downloads/colorlines.com/colorlines.com_articles_supreme-court-case-affirmative-action-explained.html | research_results/third_party_downloads/colorlines.com/colorlines.com_bd1555a1fc.html
domain,community.aiim.org,community.aiim.org,94,83,23,research_results/third_party_downloads/community.aiim.org/community.aiim.org_about-us.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_about.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_communities_all-chapters.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_home.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_home_d091adac78.html
domain,wordpress.org,wordpress.org,92,304,18,research_results/documents/parsed/457312611cef31a2cfe6e349011f468e.txt | research_results/documents/parsed/6c639748ad9d843e01a607630ea75c81.txt | research_results/documents/parsed/729a17653b6d3d5379132be435852f0e.txt | research_results/documents/parsed/a6118b290fad4b795a070b61557b3182.txt | research_results/third_party_downloads/api.w.org/developer.wordpress.org_rest-api.html
domain,bsky.app,bsky.app,92,33,33,research_results/third_party_downloads/api.w.org/developer.wordpress.org_rest-api.html | research_results/third_party_downloads/api.w.org/developer.wordpress.org_rest-api_55e12db766.html | research_results/third_party_downloads/belonging.berkeley.edu/belonging.berkeley.edu.html | research_results/third_party_downloads/belonging.berkeley.edu/belonging.berkeley.edu_de32e3d51e.html | research_results/third_party_downloads/belonging.berkeley.edu/belonging.berkeley.edu_targeted-universalism.html
domain,maps.googleapis.com,maps.googleapis.com,90,229,17,research_results/documents/parsed/de030a0d5975e90c1b9a84e6bf00f918.txt | research_results/third_party_downloads/quantumresidential.com/www.quantumresidential.com.html | research_results/third_party_downloads/quantumresidential.com/www.quantumresidential.com_2cbeae6f0a.html | research_results/third_party_downloads/quantumresidential.com/www.quantumresidential.com_about.html | research_results/third_party_downloads/quantumresidential.com/www.quantumresidential.com_services.html
domain,info.aiim.org,info.aiim.org,90,90,24,research_results/third_party_downloads/community.aiim.org/community.aiim.org_about-us.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_about.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_communities_all-chapters.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_home.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_home_d091adac78.html
org_name,Belonging Institute,,90,21,21,research_results/documents/parsed/2cb743c45485324adc632bb0642bc614.txt | research_results/documents/parsed/3118d8dcd1c708d5160b1108a9b231ea.txt | research_results/documents/parsed/385a88a7fe2da014385f69da14fe3381.txt | research_results/documents/parsed/65855a9e72d39c381c793fccf7e2afd0.txt | research_results/documents/parsed/a626e07c5852ed3bdb811988165371fe.txt
domain,www.guidestar.org,www.guidestar.org,89,27,18,research_results/third_party_downloads/raceforward.org/www.raceforward.org.html | research_results/third_party_downloads/raceforward.org/www.raceforward.org_641110ad5f.html | research_results/third_party_downloads/raceforward.org/www.raceforward.org_projects-programs-_26-initiatives_cultural-week-of-action.html | research_results/third_party_downloads/raceforward.org/www.raceforward.org_reporting-guide.html | research_results/third_party_downloads/www.charitynavigator.org/www.charitynavigator.org.html
domain,www.aiim.org,www.aiim.org,88,365,32,research_results/documents/parsed/e8e523e92fbd99969a6dcda98a9f5dd8.txt | research_results/hacc_documents/P4_Reference_36867457-a5cd-478f-b81f-222803002958 | research_results/hacc_documents/P4_Reference_41bcf6d9-0a13-4536-a9ea-20c5b490d2fc | research_results/hacc_documents/P4_Reference_a979bd35-6fa9-431f-ac1e-d738f3e5597c | research_results/hacc_documents/P4_Reference_d5b9bae1-d423-44a4-b6a7-bc7f13b7f221
domain,give.raceforward.org,give.raceforward.org,88,26,26,research_results/third_party_downloads/colorlines.com/colorlines.com.html | research_results/third_party_downloads/colorlines.com/colorlines.com_about-us.html | research_results/third_party_downloads/colorlines.com/colorlines.com_articles_supreme-court-case-affirmative-action-explained.html | research_results/third_party_downloads/colorlines.com/colorlines.com_bd1555a1fc.html | research_results/third_party_downloads/colorlines.com/colorlines.com_categories_media.html
domain,api.connectedcommunity.org,api.connectedcommunity.org,86,26,26,research_results/third_party_downloads/community.aiim.org/community.aiim.org_about-us.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_about.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_communities_all-chapters.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_home.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_home_d091adac78.html
domain,www.higherlogic.com,www.higherlogic.com,86,26,26,research_results/third_party_downloads/community.aiim.org/community.aiim.org_about-us.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_about.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_communities_all-chapters.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_home.html | research_results/third_party_downloads/community.aiim.org/community.aiim.org_home_d091adac78.html
