domain,doc_count,max_risk_score,top_urls,top_hits
www.racialequityalliance.org,11,3,https://www.racialequityalliance.org/blogs/gare-team/2025/12/16/government-at-just-narratives | https://www.racialequityalliance.org/blogs/gare-team/2025/12/11/navigating-racial-equity-work-when-leaderships-sup | https://www.racialequityalliance.org/resources/state-of-the-field-25,inclusion; equity; lived experience; policy; contract; statewide; must; procurement; housing
www.raceforward.org,8,3,https://www.raceforward.org/training-and-events/just-narratives | https://www.raceforward.org/sites/default/files/RacialJusticeImpactAssessment_v5.pdf | https://www.raceforward.org/sites/default/files/Race%20Reporting%20Guide%20by%20Race%20Forward_V1.1.pdf,diversity; equity; lived experience; policy; required; must; hiring; training; housing
obiu.org,6,3,https://obiu.org/course/stages-of-targeted-univeralism-part2 | https://obiu.org/course/what-is-targeted-universalism | https://obiu.org/course/stages-of-targeted-universalism-part1,diversity; inclusion; equity; equity plan; lived experience; contract; shall; statewide; policy; agreement; hiring; procurement; training; housing
www.osba.org,8,2,https://www.osba.org/feed/ | https://www.osba.org/ | https://www.osba.org/?s=%7Bsearch_term_string,diversity; underserved; equity; contract; required; must; statewide; policy; hiring; procurement; training; housing
opportunityagenda.org,7,2,https://opportunityagenda.org/?s=%7Bsearch_term_string | https://opportunityagenda.org/events/?ical=1 | https://opportunityagenda.org/wp-json/,equity; policy; housing
www.hud.gov,5,2,https://www.hud.gov/news | https://www.hud.gov/ | https://www.hud.gov/no-fear-act,dei; contract; agreement; must; hiring; procurement; housing
www.charitynavigator.org,4,2,https://www.charitynavigator.org/about-us | https://www.charitynavigator.org/ein/942759879 | https://www.charitynavigator.org/ein/843935514,diversity; inclusion; equity; policy; housing
www.colorlines.com,4,2,https://colorlines.com/ | https://colorlines.com/categories/media | https://colorlines.com/categories/schools-youth,equity; must; training; housing
raceforward.org,2,2,https://www.raceforward.org/projects-programs-%26-initiatives/cultural-week-of-action | https://www.raceforward.org/reporting-guide,diversity; inclusion; equity; policy; hiring; training; housing
oregonbuys.gov,2,2,https://oregonbuys.gov:443/bso/ | https://www.periscopeholdings.com/who-we-are?p=who-we-are,diversity; inclusion; contract; shall; required; procurement; housing
www.opportunityagenda.org,1,2,https://opportunityagenda.org/,equity; policy; training
immigrationhistory.org,9,0,https://immigrationhistory.org/item/page-act/ | https://immigrationhistory.org/wp-json/ | https://immigrationhistory.org/wp-json/wp/v2/pages/564,contract; standard; required; shall; agreement; hiring; procurement
cdn.restorativejustice.org,8,0,https://cdn.restorativejustice.org/wp-content/uploads/2022/02/17163833/PRISON_CO-Punishment-Tshirt-1324x730-1-730x400.webp | https://cdn.restorativejustice.org/wp-content/uploads/2022/02/17163830/Bolivia-aduls-eating-dinner-no-face-showing-228x228.webp | https://cdn.restorativejustice.org/wp-content/uploads/2022/02/17163832/Benin-shirtless-man-grabbing-bars-228x228.webp,procurement
community.aiim.org,8,0,https://community.aiim.org/about | https://community.aiim.org/communities/all-chapters | https://community.aiim.org/who-we-are,
sos.oregon.gov,8,0,https://sos.oregon.gov/about | https://sos.oregon.gov/audits/Pages/stateaudits.aspx | https://sos.oregon.gov/who-we-are,training
restorativejustice.org,7,0,https://restorativejustice.org/wp-json/ | https://restorativejustice.org/wp-json/wp/v2/pages/9 | https://restorativejustice.org/?s=%7Bsearch_term_string,standard; required; must; hiring
info.aiim.org,7,0,https://info.aiim.org/aiim-blog | https://info.aiim.org/state-of-the-intelligent-information-management-industry-2025 | https://info.aiim.org/demystifying-document-management-content-management-information-management-and-content-services,policy; required; procurement; training; housing
www.hudexchange.info,6,0,https://www.hudexchange.info/resource/3824/hmis-data-dictionary/ | https://www.hudexchange.info/homelessness-assistance/ | https://www.hudexchange.info/,policy; standard; required; hiring; procurement; training; housing
quantumresidential.com,3,0,https://www.quantumresidential.com/about/ | https://www.quantumresidential.com/services/ | https://www.quantumresidential.com/,policy; standard; hiring; training; housing
www.aiim.org,2,0,https://www.aiim.org/about-section/about-us | https://www.aiim.org/,policy; required; must; procurement; training; housing
colorlines.com,1,0,https://colorlines.com/about-us,hiring
www.hudhre.info,1,0,https://www.sttimothyswilson.org/worship,policy; housing
oregonencyclopedia.org,1,0,https://www.oregonencyclopedia.org/articles/blacks_in_oregon/,contract; required; must; statewide; policy; hiring; procurement; training; housing
metrics.raceforward.org,1,0,https://metrics.raceforward.org/,
www.oregonencyclopedia.org,1,0,https://www.oregonencyclopedia.org/,training
