domain,url,final_url,status,http_status,content_type,bytes,saved_path,error
www.raceforward.org,https://www.raceforward.org/,https://www.raceforward.org/,ok,200,text/html; charset=UTF-8,131748,research_results/third_party_downloads/www.raceforward.org/www.raceforward.org_641110ad5f.html,
www.raceforward.org,https://www.raceforward.org,https://www.raceforward.org/,ok,200,text/html; charset=UTF-8,131748,research_results/third_party_downloads/www.raceforward.org/www.raceforward.org_641110ad5f.html,
www.raceforward.org,http://www.raceforward.org,http://www.raceforward.org/,ok,200,text/html; charset=UTF-8,131745,research_results/third_party_downloads/www.raceforward.org/www.raceforward.org_7c1e044e34.html,
www.charitynavigator.org,https://www.charitynavigator.org/ein/843935514,https://www.charitynavigator.org/ein/843935514,ok,200,text/html; charset=utf-8,327841,research_results/third_party_downloads/www.charitynavigator.org/www.charitynavigator.org_ein_843935514_5e64e71f57.html,
www.charitynavigator.org,https://www.charitynavigator.org/ein/942759879,https://www.charitynavigator.org/ein/942759879,ok,200,text/html; charset=utf-8,332803,research_results/third_party_downloads/www.charitynavigator.org/www.charitynavigator.org_ein_942759879_20a3462fc7.html,
www.charitynavigator.org,https://www.charitynavigator.org,https://www.charitynavigator.org/,ok,200,text/html;charset=utf-8,126782,research_results/third_party_downloads/www.charitynavigator.org/www.charitynavigator.org_971d07e68d.html,
obiu.org,https://obiu.org/course/stages-of-targeted-univeralism-part2,https://obiu.org/course/stages-of-targeted-univeralism-part2,ok,200,text/html;charset=UTF-8,1029678,research_results/third_party_downloads/obiu.org/obiu.org_course_stages-of-targeted-univeralism-part2_7eb9c4c2d5.html,
obiu.org,https://obiu.org/payment?product_id=,https://obiu.org/?msg=signup,ok,200,text/html;charset=UTF-8,1092780,research_results/third_party_downloads/obiu.org/obiu.org_4ba94aeb9f.html,
obiu.org,https://obiu.org/,https://obiu.org/,ok,200,text/html;charset=UTF-8,1092780,research_results/third_party_downloads/obiu.org/obiu.org_9fdd6f809a.html,
www.racialequityalliance.org,https://www.racialequityalliance.org/,https://www.racialequityalliance.org/home,ok,200,text/html; charset=utf-8,154453,research_results/third_party_downloads/www.racialequityalliance.org/www.racialequityalliance.org_home_7f6b5e38d7.html,
www.racialequityalliance.org,https://www.racialequityalliance.org/viewdocument/pending-ai-new-southern-strategie-13,https://www.racialequityalliance.org/viewdocument/pending-ai-new-southern-strategie-13,ok,200,text/html; charset=utf-8,159015,research_results/third_party_downloads/www.racialequityalliance.org/www.racialequityalliance.org_viewdocument_pending-ai-new-southern-strategie-13_c294bab012.html,
www.racialequityalliance.org,http://www.racialequityalliance.org,https://www.racialequityalliance.org/home,ok,200,text/html; charset=utf-8,154453,research_results/third_party_downloads/www.racialequityalliance.org/www.racialequityalliance.org_home_7f6b5e38d7.html,
metrics.raceforward.org,https://metrics.raceforward.org/,https://metrics.raceforward.org/,ok,200,text/html; charset=utf-8,210456,research_results/third_party_downloads/metrics.raceforward.org/metrics.raceforward.org_ce5da56a6b.html,
metrics.raceforward.org,http://metrics.raceforward.org/,https://metrics.raceforward.org/,ok,200,text/html; charset=utf-8,210456,research_results/third_party_downloads/metrics.raceforward.org/metrics.raceforward.org_ce5da56a6b.html,
metrics.raceforward.org,https://metrics.raceforward.org,https://metrics.raceforward.org/,ok,200,text/html; charset=utf-8,210456,research_results/third_party_downloads/metrics.raceforward.org/metrics.raceforward.org_ce5da56a6b.html,
colorlines.com,https://colorlines.com/categories/media,https://colorlines.com/categories/media,ok,200,text/html; charset=UTF-8,35211,research_results/third_party_downloads/colorlines.com/colorlines.com_categories_media_8dbcb50a97.html,
