domain,url,final_url,status,http_status,content_type,bytes,saved_path,error
www.oregonmetro.gov,https://www.oregonmetro.gov/sites/default/files/2023/04/25/Housing-Bond-Quarterly-Progress-Report_Q1-JAN_MAR_2023_Final_wFinancials_StaffReports.pdf,https://www.oregonmetro.gov/sites/default/files/2023/04/25/Housing-Bond-Quarterly-Progress-Report_Q1-JAN_MAR_2023_Final_wFinancials_StaffReports.pdf,error,404,text/html; charset=UTF-8,0,,http_404
www.oregonmetro.gov,https://www.oregonmetro.gov/sites/default/files/2025-10/affordable-housing-bond-oversight-committee-meeting-packet-20250317.pdf,https://www.oregonmetro.gov/sites/default/files/2025-10/affordable-housing-bond-oversight-committee-meeting-packet-20250317.pdf,error,200,application/pdf,0,,too_large_content_length:18570789
www.oregonmetro.gov,https://www.oregonmetro.gov/what-metro-does/housing-and-homelessness/affordable-housing-bond/racial-equity,https://www.oregonmetro.gov/what-metro-does/housing-and-homelessness/affordable-housing-bond/racial-equity,ok,200,text/html; charset=UTF-8,78532,research_results/third_party_downloads/www.oregonmetro.gov/www.oregonmetro.gov_what-metro-does_housing-and-homelessness_affordable-housing-bond_racial-equity_d7790ea68d.html,
www.oregonmetro.gov,https://www.oregonmetro.gov/public-projects/affordable-housing-bond/progress,https://www.oregonmetro.gov/projects,ok,200,text/html; charset=UTF-8,105404,research_results/third_party_downloads/www.oregonmetro.gov/www.oregonmetro.gov_projects.html,
www.oregonmetro.gov,https://www.oregonmetro.gov/regional-leadership/metro-advisory-committees/affordable-housing-bond-oversight-committee,https://www.oregonmetro.gov/committees,ok,200,text/html; charset=UTF-8,99164,research_results/third_party_downloads/www.oregonmetro.gov/www.oregonmetro.gov_committees.html,
www.oregonmetro.gov,https://www.oregonmetro.gov,https://www.oregonmetro.gov/,ok,200,text/html; charset=UTF-8,88118,research_results/third_party_downloads/www.oregonmetro.gov/www.oregonmetro.gov_16b2d36788.html,
www.oregonmetro.gov,http://www.oregonmetro.gov,https://www.oregonmetro.gov/,ok,200,text/html; charset=UTF-8,88118,research_results/third_party_downloads/www.oregonmetro.gov/www.oregonmetro.gov_16b2d36788.html,
www.oregon.gov,https://www.oregon.gov/ohcs/about-us/Pages/equity-and-racial-justice.aspx,https://www.oregon.gov/ohcs/about-us/Pages/equity-and-racial-justice.aspx,error,404,text/html; charset=utf-8,0,,http_404
www.oregon.gov,https://www.oregon.gov/ohcs/rental-housing/housing-development/oregon-centralized-application-orca/pages/orca-diversity-equity-inclusion-agreement.aspx,https://www.oregon.gov/ohcs/rental-housing/housing-development/oregon-centralized-application-orca/pages/orca-diversity-equity-inclusion-agreement.aspx,ok,200,text/html; charset=utf-8,72288,research_results/third_party_downloads/www.oregon.gov/www.oregon_8c657fe519.gov_ohcs_rental-housing_housing-development_oregon-centralized-application-orca_pages_orca-diversity-equity-i_8c657fe519,
www.oregon.gov,https://www.oregon.gov,https://www.oregon.gov/Pages/index.aspx,ok,200,text/html; charset=utf-8,88953,research_results/third_party_downloads/www.oregon.gov/www.oregon.gov_Pages_index_85e00df05b.aspx,
www.oregon.gov,http://www.oregon.gov,https://www.oregon.gov/Pages/index.aspx,ok,200,text/html; charset=utf-8,88953,research_results/third_party_downloads/www.oregon.gov/www.oregon.gov_Pages_index_85e00df05b.aspx,
stollberne.com,https://stollberne.com/case/quantum-residential-class-action/,https://stollberne.com/case/quantum-residential-class-action/,ok,200,text/html; charset=UTF-8,110829,research_results/third_party_downloads/stollberne.com/stollberne.com_case_quantum-residential-class-action_a117381eb1.html,
stollberne.com,https://stollberne.com,https://stollberne.com/,ok,200,text/html; charset=UTF-8,152326,research_results/third_party_downloads/stollberne.com/stollberne.com_d01149be10.html,
stollberne.com,http://stollberne.com,https://stollberne.com/,ok,200,text/html; charset=UTF-8,152327,research_results/third_party_downloads/stollberne.com/stollberne.com_d01149be10.html,
dockets.justia.com,https://dockets.justia.com/docket/washington/wawdce/3:2023cv05535/323342,https://dockets.justia.com/docket/washington/wawdce/3:2023cv05535/323342,error,403,text/html; charset=UTF-8,0,,http_403
dockets.justia.com,https://dockets.justia.com,https://dockets.justia.com/,error,403,text/html; charset=UTF-8,0,,http_403
