rank,risk_score,domain,title,url,parsed_file,hits
1,3,www.raceforward.org,,https://www.raceforward.org/sites/default/files/RacialJusticeImpactAssessment_v5.pdf,research_results/documents/parsed/ffb8b3c67a74866bc9b85c48b68e4bf0.txt,inclusion; diversity; equity; equity plan; must; policy; required
2,2,www.raceforward.org,,https://www.raceforward.org/sites/default/files/Race%20Reporting%20Guide%20by%20Race%20Forward_V1.1.pdf,research_results/documents/parsed/c441d095b5efadcac83eadd5ad604240.txt,inclusion; diversity; equity; statewide; standard; contract; must; policy; hiring; procurement; training; housing
3,2,belonging.berkeley.edu,,https://belonging.berkeley.edu/targeted-universalism,research_results/documents/parsed/f220833a1ebb227c820ffdcc641e2779.txt,inclusion; diversity; equity; must; policy; procurement; training; housing
4,2,www.osba.org,,https://www.osba.org/,research_results/documents/parsed/07815e32e695fa0202bb1b593746c401.txt,equity; policy; required; hiring; procurement; training; housing
5,2,www.raceforward.org,,https://www.raceforward.org/what-racial-equity,research_results/documents/parsed/a190e1e7829daedea88c07cffb922811.txt,equity; must; policy; applicable to; hiring; training; housing
6,2,oregonbuys.gov,,https://oregonbuys.gov:443/bso/,research_results/documents/parsed/f6741790087ba13efcf09ff18aaee9d6.txt,inclusion; diversity; shall; required; contract; procurement; housing
7,2,belonging.berkeley.edu,,https://belonging.berkeley.edu/,research_results/documents/parsed/e1ab2e335f7e813fd3cfbd5c10ab62b6.txt,diversity; equity; policy; hiring; training; housing
8,2,www.raceforward.org,,https://www.raceforward.org/,research_results/documents/parsed/6edb45aeefba069c869f50585373f1c6.txt,equity; policy; procurement; training; housing
9,2,www.raceforward.org,,http://www.raceforward.org/,research_results/documents/parsed/13a8dbfefb0e62ac8f3861aa3b6c4758.txt,equity; policy; procurement; training; housing
10,2,www.opportunityagenda.org,,https://opportunityagenda.org/,research_results/documents/parsed/bf83699c0a4f2001dd2920dd6d60b502.txt,equity; policy; training
11,2,www.racialequityalliance.org,,https://www.racialequityalliance.org/home,research_results/documents/parsed/0e1e03d72717fb6325339c86021d7ea8.txt,equity; policy; housing
12,2,www.racialequityalliance.org,,https://www.racialequityalliance.org/wp-content/uploads/2015/10/gare-racial_equity_toolkit.pdf,research_results/documents/parsed/24cbe0113967a4f6725bb7683d5ad024.txt,equity; policy
13,2,www.racialequityalliance.org,,https://www.racialequityalliance.org/resources/public-sector-jobs-,research_results/documents/parsed/c03fa557fce41394cb3254c013c5736b.txt,equity; policy
14,2,www.racialequityalliance.org,,https://www.racialequityalliance.org/wp-content/uploads/2016/11/gare-racial-equity-action-plans.pdf,research_results/documents/parsed/11925ba57cc06a39fad9a6dc5a8cc1f0.txt,equity; policy
15,0,oregonencyclopedia.org,,https://www.oregonencyclopedia.org/articles/blacks_in_oregon/,research_results/documents/parsed/121df9a7bd9e7fb132e4cbd006e418fd.txt,statewide; contract; must; policy; required; hiring; procurement; training; housing
16,0,immigrationhistory.org,,https://immigrationhistory.org/item/page-act/,research_results/documents/parsed/99dcf3d5449817538f56e3cd23ec5fc1.txt,agreement; shall; standard; contract; required; hiring; procurement
17,0,www.hudexchange.info,,https://www.hudexchange.info/homelessness-assistance/,research_results/documents/parsed/b8db36676c4c140396b695f791f8e0b9.txt,policy; standard; hiring; procurement; training; housing
18,0,www.hudexchange.info,,https://www.hudexchange.info/,research_results/documents/parsed/5b94e8a5df0af6d0ee9bdeaa10261e5e.txt,policy; hiring; procurement; training; housing
19,0,www.hudexchange.info,,https://files.hudexchange.info/resources/documents/HomelessDefinition_RecordkeepingRequirementsandCriteria.pdf,research_results/documents/parsed/c6a05a0f4e6c2b828b90061d477fc6c0.txt,must; agreement; hiring; housing
20,0,www.aiim.org,,https://www.aiim.org/,research_results/documents/parsed/937374b235c61ee1f6081afde70f0ce0.txt,policy; procurement; training; housing
